OTU_ID,Occ.CN.its,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_151,1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium astrolabium
OTU_19,1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger
OTU_24,1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger
OTU_248,1,Fungi,,,,,,
OTU_26,1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus niger
OTU_27,1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,
OTU_152,0.933333333,Fungi,Basidiomycota,Wallemiomycetes,Wallemiales,Wallemiaceae,Wallemia,
OTU_229,0.933333333,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,
OTU_277,0.933333333,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
OTU_141,0.866666667,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus caesiellus
OTU_244,0.866666667,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
OTU_30,0.866666667,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus piperis
OTU_20,0.8,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
OTU_216,0.8,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
OTU_117,0.733333333,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium citrinum
OTU_119,0.733333333,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus penicillioides
OTU_124,0.733333333,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
OTU_184,0.733333333,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,
OTU_22,0.733333333,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria sp 
OTU_157,0.666666667,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus sydowii
OTU_160,0.666666667,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium steckii
OTU_170,0.666666667,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,
OTU_52,0.666666667,Fungi,,,,,,
OTU_71,0.666666667,Fungi,Ascomycota,Dothideomycetes,,,,
OTU_143,0.6,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Guehomyces,Guehomyces pullulans
OTU_154,0.6,Fungi,Ascomycota,,,,,
OTU_175,0.6,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,
OTU_32,0.6,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,
OTU_171,0.533333333,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,
OTU_28,0.533333333,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus penicillioides
OTU_65,0.533333333,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,Gibberella fujikuroi
OTU_113,0.466666667,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,
