OTU_ID,Domain,Phylum,Class,Order,Family,Genus,Species
OTU_163,Fungi,,,,,,
OTU_129,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,
OTU_128,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma spirale
OTU_127,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala equina
OTU_126,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
OTU_125,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodosporidiobolus,Rhodosporidiobolus ruineniae
OTU_124,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
OTU_123,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
OTU_122,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis,Sarocladium,Sarocladium strictum
OTU_121,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Itersonilia,Itersonilia perplexans
OTU_120,Fungi,Ascomycota,,,,,
OTU_248,Fungi,,,,,,
OTU_249,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ischnodermataceae,Ischnoderma,Ischnoderma resinosum
OTU_246,Fungi,Basidiomycota,Tremellomycetes,,,,
OTU_247,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,
OTU_244,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
OTU_245,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,
OTU_242,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,,
OTU_243,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,,,
OTU_240,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,,
OTU_156,Fungi,Ascomycota,,,,,
OTU_170,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,
OTU_230,Fungi,,,,,,
OTU_171,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,
OTU_175,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,
OTU_172,Fungi,,,,,,
OTU_226,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,,
OTU_280,Fungi,,,,,,
OTU_158,Fungi,Ascomycota,Pezizomycetes,,,,
OTU_159,Fungi,,,,,,
OTU_69,Fungi,Ascomycota,,,,,
OTU_68,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,,
OTU_65,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,Gibberella fujikuroi
OTU_64,Fungi,,,,,,
OTU_67,Fungi,Ascomycota,,,,,
OTU_66,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Nidulariaceae,Cyathus,Cyathus stercoreus
OTU_61,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,Funneliformis mosseae
OTU_60,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp 
OTU_63,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,
OTU_62,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,,,
OTU_138,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
OTU_139,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudeurotium,Pseudeurotium hygrophilum
OTU_176,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,
OTU_134,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium sp 
OTU_135,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium grande
OTU_136,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Zopfiella,Zopfiella marina
OTU_137,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,
OTU_130,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
OTU_131,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,Cryptococcus sp 
OTU_132,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,
OTU_133,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Gibberella,Gibberella fujikuroi
OTU_239,Fungi,,,,,,
OTU_238,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,
OTU_233,Fungi,,,,,,
OTU_232,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma,Meyerozyma guilliermondii
OTU_231,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,Kickxellaceae,Ramicandelaber,Ramicandelaber taiwanensis
OTU_154,Fungi,Ascomycota,,,,,
OTU_237,Fungi,,,,,,
OTU_236,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia diffluens
OTU_235,Fungi,Chytridiomycota,,,,,
OTU_234,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,
OTU_265,Fungi,,,,,,
OTU_293,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
OTU_177,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudodeflectus
OTU_299,Fungi,Ascomycota,Dothideomycetes,,,,
OTU_292,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,,
OTU_58,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,
OTU_59,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella sp 
OTU_288,Fungi,Ascomycota,,,,,
OTU_50,Fungi,,,,,,
