OTU ID	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	N1	N2	N3	N4	N5	N6	N7
OTU_26	193.0	194.0	17344.0	18399.0	85.0	87.0	1408.0	2524.0	23.0	16.0	33.0	149.0	17969.0	95.0	1892.0	103.0	45.0	103.0	32.0	37.0	37.0	1440.0
OTU_27	18468.0	18470.0	394.0	360.0	14983.0	14319.0	3821.0	6041.0	829.0	880.0	976.0	15973.0	406.0	12263.0	6736.0	14311.0	8562.0	11400.0	3694.0	3449.0	3183.0	5184.0
OTU_151	1641.0	1753.0	21.0	7.0	1189.0	1246.0	1127.0	1641.0	6576.0	6498.0	6531.0	3387.0	9.0	2412.0	0.0	1225.0	2995.0	2564.0	5917.0	6305.0	6346.0	1817.0
OTU_229	41.0	41.0	0.0	1.0	52.0	43.0	5.0	11.0	6.0	2.0	5.0	55.0	2.0	41.0	10.0	55.0	25.0	24.0	13.0	5.0	8.0	25.0
OTU_24	383.0	316.0	5.0	5.0	235.0	223.0	275.0	69.0	14.0	6.0	11.0	259.0	4.0	226.0	139.0	251.0	127.0	182.0	59.0	52.0	39.0	258.0
OTU_141	183.0	214.0	0.0	1.0	1155.0	1059.0	1025.0	1257.0	461.0	489.0	475.0	399.0	4.0	1138.0	0.0	1066.0	1244.0	1121.0	332.0	357.0	398.0	0.0
OTU_160	34.0	13.0	0.0	0.0	3.0	2.0	56.0	34.0	0.0	0.0	0.0	136.0	0.0	2.0	7.0	9.0	23.0	5.0	0.0	0.0	0.0	51.0
OTU_117	103.0	96.0	0.0	0.0	102.0	124.0	701.0	0.0	387.0	392.0	385.0	272.0	0.0	168.0	0.0	145.0	250.0	190.0	236.0	317.0	302.0	0.0
OTU_193	8.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_119	19.0	16.0	1.0	0.0	69.0	52.0	0.0	0.0	2.0	2.0	3.0	22.0	0.0	35.0	0.0	47.0	48.0	51.0	3.0	10.0	11.0	0.0
OTU_30	27.0	19.0	0.0	0.0	24.0	26.0	8.0	14.0	2.0	1.0	1.0	27.0	0.0	21.0	8.0	18.0	17.0	13.0	3.0	2.0	1.0	10.0
OTU_218	0.0	1.0	0.0	0.0	0.0	0.0	119.0	700.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
OTU_248	117.0	99.0	6.0	3.0	2551.0	3164.0	3605.0	7.0	8129.0	8146.0	8434.0	320.0	3.0	3687.0	1829.0	3102.0	5762.0	4244.0	7674.0	7035.0	7407.0	2470.0
OTU_166	25.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_182	27.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_249	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU_33	17.0	11.0	0.0	0.0	0.0	0.0	73.0	1.0	1.0	0.0	0.0	31.0	0.0	0.0	907.0	0.0	0.0	0.0	0.0	1.0	0.0	22.0
OTU_277	4.0	1.0	0.0	2.0	127.0	163.0	3.0	2949.0	393.0	331.0	293.0	20.0	0.0	146.0	175.0	142.0	281.0	190.0	259.0	255.0	274.0	840.0
OTU_19	10.0	7.0	866.0	918.0	2.0	7.0	74.0	121.0	3.0	0.0	1.0	17.0	843.0	1.0	87.0	2.0	4.0	5.0	1.0	3.0	3.0	62.0
OTU_241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU_216	5.0	5.0	0.0	0.0	272.0	256.0	0.0	2361.0	782.0	665.0	644.0	40.0	0.0	336.0	1.0	301.0	601.0	349.0	517.0	581.0	597.0	4.0
OTU_32	3.0	3.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0
OTU_175	3.0	2.0	0.0	0.0	19.0	33.0	3.0	6.0	0.0	0.0	0.0	8.0	1.0	12.0	0.0	28.0	25.0	24.0	0.0	0.0	0.0	0.0
OTU_234	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
OTU_244	2.0	4.0	0.0	1.0	168.0	191.0	0.0	57.0	621.0	496.0	506.0	12.0	0.0	218.0	1.0	217.0	357.0	242.0	342.0	385.0	392.0	11.0
OTU_22	1.0	0.0	0.0	0.0	9.0	7.0	19.0	0.0	28.0	41.0	26.0	8.0	0.0	25.0	2.0	18.0	31.0	26.0	39.0	36.0	37.0	9.0
OTU_157	5.0	7.0	0.0	0.0	8.0	6.0	0.0	0.0	42.0	44.0	43.0	12.0	0.0	15.0	0.0	8.0	14.0	18.0	53.0	35.0	42.0	0.0
OTU_28	1.0	0.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	5.0	0.0	6.0	5.0	6.0	1.0	1.0	0.0	0.0
OTU_150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_184	1.0	5.0	0.0	0.0	27.0	36.0	9.0	9.0	3.0	3.0	2.0	2.0	0.0	27.0	0.0	22.0	36.0	28.0	4.0	3.0	0.0	0.0
OTU_20	2.0	9.0	0.0	0.0	121.0	121.0	336.0	0.0	241.0	235.0	252.0	12.0	0.0	133.0	89.0	117.0	190.0	165.0	265.0	236.0	245.0	125.0
OTU_152	0.0	1.0	1950.0	1120.0	57.0	79.0	1205.0	1510.0	2642.0	2960.0	2565.0	2.0	1449.0	233.0	2.0	71.0	609.0	292.0	1766.0	2098.0	1848.0	1296.0
OTU_148	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
OTU_153	0.0	0.0	688.0	465.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	577.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0
OTU_79	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0
OTU_108	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_223	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OTU_170	1.0	0.0	34.0	28.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	4.0	44.0	2.0	0.0	3.0	1.0	3.0	0.0	1.0	0.0	0.0
OTU_171	0.0	2.0	0.0	0.0	32.0	31.0	2.0	3.0	0.0	0.0	0.0	5.0	0.0	33.0	0.0	26.0	16.0	25.0	0.0	0.0	0.0	0.0
OTU_50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
OTU_183	0.0	1.0	0.0	0.0	0.0	0.0	4098.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	304.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0
OTU_200	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0
OTU_225	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0
OTU_143	0.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	3.0	0.0	2.0	1.0	2.0	0.0	1.0	1.0	2.0	4.0	1.0	0.0
OTU_124	0.0	2.0	0.0	0.0	16.0	28.0	0.0	57.0	47.0	30.0	39.0	3.0	0.0	16.0	0.0	16.0	15.0	16.0	18.0	29.0	37.0	1.0
OTU_130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
OTU_59	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0
OTU_208	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
OTU_232	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
