OTUID	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	N1	N2	N3	N4	N5	N6	N7
OTU_26	375	313	28149	36722	118	190	1754	2524	46	65	102	202	33517	163	2873	185	89	196	93	75	77	2099
OTU_27	34982	30603	640	699	20618	31024	4718	6041	1773	2589	2815	21824	741	22570	10192	25857	17841	22905	7862	5708	7786	7350
OTU_151	3182	2939	31	16	1626	2718	1407	1641	14252	19547	18779	4636	16	4465	3	2245	6290	5131	12752	10701	15603	2577
OTU_229	77	59	1	2	70	92	5	11	8	6	13	81	3	80	19	101	67	61	19	9	17	33
OTU_24	703	531	6	13	345	501	341	69	22	25	24	358	8	381	213	451	267	370	126	92	102	375
OTU_141	354	331	2	4	1576	2338	1268	1257	1009	1514	1415	546	6	2097	0	1992	2608	2208	708	631	991	0
OTU_160	73	30	0	0	4	7	72	34	0	0	0	193	0	6	13	16	47	12	0	0	0	84
OTU_117	163	141	3	0	144	293	877	0	832	1105	1072	367	0	292	0	250	523	358	556	533	792	0
OTU_193	9	7	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
OTU_119	30	25	1	0	90	113	0	0	8	6	9	28	0	74	0	72	82	114	9	15	20	0
OTU_30	51	34	0	0	28	53	9	14	4	1	1	29	0	34	16	31	30	29	6	6	4	10
OTU_218	1	1	0	2	0	0	138	700	0	1	1	0	1	4	0	0	0	0	0	0	1	27
OTU_248	199	160	9	8	3422	6824	4450	7	17641	24449	24311	441	3	6718	2783	5696	11836	8571	16401	11848	18346	3511
OTU_166	45	35	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0
OTU_182	52	18	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
OTU_249	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0
OTU_33	33	20	0	0	0	0	98	1	1	0	0	45	0	0	1421	0	0	0	1	1	0	33
OTU_277	4	2	0	3	177	359	3	2949	827	953	872	26	0	302	271	261	559	382	553	427	689	1157
OTU_19	22	13	1426	1845	3	13	97	121	3	0	6	19	1565	1	134	3	6	8	2	3	3	85
OTU_241	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
OTU_216	8	11	0	0	367	611	0	2361	1715	2039	1967	52	2	625	2	553	1259	725	1076	997	1459	5
OTU_32	6	4	0	2	1	9	0	1	0	0	0	3	0	2	0	2	3	0	2	0	1	0
OTU_210	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0
OTU_175	7	4	0	0	24	62	4	6	0	2	0	12	2	21	0	47	61	42	0	0	0	0
OTU_234	1	0	0	0	1	0	2	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0
OTU_244	5	5	0	1	230	416	0	57	1363	1498	1452	19	0	404	1	384	727	471	742	659	994	15
OTU_22	1	0	0	0	14	28	25	0	62	108	91	8	0	49	6	34	60	43	87	56	91	16
OTU_157	8	9	0	0	11	18	0	0	96	129	128	21	0	31	0	14	37	34	101	68	117	0
OTU_28	3	1	1	0	9	12	0	0	0	1	4	6	0	11	0	10	9	10	1	1	3	0
OTU_150	1	0	0	0	0	0	0	0	1	3	2	0	1	0	0	0	0	0	1	0	0	0
OTU_184	2	7	0	0	36	65	12	9	6	5	6	2	0	51	0	32	73	45	5	5	2	0
OTU_20	7	12	0	0	158	260	416	0	516	722	716	19	1	221	130	211	382	342	514	415	577	174
OTU_152	1	1	3172	2251	75	167	1464	1510	5787	8740	7427	5	2684	433	2	134	1244	608	3668	3604	4605	1878
OTU_148	1	0	0	2	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	1	2	0
OTU_153	1	0	1066	943	0	0	0	0	1	2	1	2	1055	0	0	0	0	2	0	1	2	0
OTU_79	3	1	0	0	0	0	0	0	3	5	2	1	0	0	0	1	1	1	2	1	5	0
OTU_108	6	5	0	0	0	0	0	0	3	0	1	4	0	5	0	0	0	1	0	0	3	0
OTU_223	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_170	1	1	57	64	4	4	1	0	1	0	0	5	71	3	0	7	4	6	0	1	2	0
OTU_89	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_171	4	2	0	0	46	65	2	3	0	0	1	9	0	58	0	49	48	46	0	0	0	0
OTU_50	0	1	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	0	2	1	0	0
OTU_183	0	1	0	0	0	0	5013	1	0	0	0	1	0	0	467	0	1	0	0	0	0	9
OTU_200	0	3	0	0	1	1	0	0	3	3	3	9	0	1	0	0	1	1	0	1	4	0
OTU_225	0	1	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	3	0	1	1	0
OTU_143	0	1	1	0	0	1	0	2	7	6	7	0	3	1	3	0	3	3	5	5	4	0
OTU_124	0	2	0	0	18	47	0	57	91	92	115	3	0	35	0	32	44	34	44	55	76	2
OTU_130	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1
OTU_59	0	2	0	0	0	1	0	0	5	0	4	1	0	2	0	0	0	0	5	0	2	0
OTU_208	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0
OTU_232	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0
OTU_29	0	0	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_25	0	0	8	11	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	4
OTU_202	0	0	3	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5
OTU_91	0	0	5	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
OTU_211	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	2	0
OTU_9	0	0	1	5	0	0	0	0	10	35	28	0	3	0	0	0	2	1	5	6	3	0
OTU_8	0	0	1	0	0	0	0	0	5	0	2	0	2	1	0	1	3	0	0	0	4	273
OTU_35	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_80	0	0	2	0	0	0	0	3	7	8	3	0	0	0	0	0	0	0	5	12	8	0
OTU_95	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_214	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
OTU_167	0	0	1	0	0	0	9	170	0	0	0	0	0	0	3	0	0	0	0	0	1	14
OTU_17	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_191	0	0	0	3	0	0	7	53	0	0	0	0	0	1	1	0	0	0	1	0	0	4
OTU_196	0	0	0	1	0	0	0	3	0	0	0	0	0	0	15	0	0	0	0	0	1	0
OTU_176	0	0	0	1	0	0	10	33	0	4	3	0	0	0	2	0	0	0	0	0	0	101
OTU_87	0	0	0	2	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	1	9	0
OTU_287	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_71	0	0	0	1	0	8	3302	15	7	22	11	0	0	6	0	3	15	5	12	11	22	0
OTU_105	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_154	0	0	0	0	3	0	0	909	58	72	77	0	0	9	0	2	18	16	83	64	98	2617
OTU_52	0	0	0	0	7	4	31	14	33	19	46	0	0	8	0	8	12	16	21	7	23	0
OTU_212	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0
OTU_113	0	0	0	0	1	0	7	26	0	0	0	0	0	1	1450	0	0	0	3	1	2	1295
OTU_245	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1529	0	0	0	0	0	0	0
OTU_174	0	0	0	0	1	0	69	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
OTU_188	0	0	0	0	1	0	42	0	1	1	0	0	0	1	1	0	0	0	0	2	0	0
OTU_101	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_65	0	0	0	0	2	0	0	4	1	8	3	1	0	0	0	0	4	3	5	8	4	3
OTU_134	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_177	0	0	0	0	0	4	0	0	16	27	14	0	0	6	0	4	9	4	17	12	9	0
OTU_197	0	0	0	0	0	1	7	0	1	0	0	0	0	0	1	0	0	0	0	0	5	0
OTU_11	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_282	0	0	0	0	0	2	0	0	0	0	0	0	0	0	578	0	0	0	0	0	0	0
OTU_147	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_205	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	6	2	4	0	0	0	0
OTU_204	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	3	3	0	0	0	0
OTU_242	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	2	0	1	0
OTU_36	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
OTU_255	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_168	0	0	0	0	0	0	175	0	0	0	0	0	0	0	88	0	0	0	0	0	0	264
OTU_72	0	0	0	0	0	0	28	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0
OTU_267	0	0	0	0	0	0	287	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_220	0	0	0	0	0	0	3	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0
OTU_194	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
OTU_279	0	0	0	0	0	0	62	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU_136	0	0	0	0	0	0	16	0	0	0	0	0	0	0	291	0	0	0	0	0	0	3
OTU_56	0	0	0	0	0	0	26	14	9	6	3	0	0	4	0	0	8	1	0	3	5	0
OTU_217	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12	0	0	0	0	0	0	2	4	0	0	0	0	0	0	155	0	0	0	0	0	0	45
OTU_253	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_289	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
