"","OTU","Sample","Abundance","Plant.Name","Treatment","Shoot_mass_g","Pod_mass_g","N_pods","Root_mass_g","pH","P","K","Ca","Mg","OM","NO3","NH4","Richness","Shannon","Pielou","Kingdom","Phylum","Class","Order","Family","Genus"
"24","OTU_151","D2",0.323081250879085,"D2","Water withholding",2.82,0.52,2,3.85,7.7,34,41,1644,184,3.3,37.3,1.4,40,1.68467800497441,0.45669098866747,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"25","OTU_151","N6",0.311782080735149,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.74913863537929,0.438492261428277,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"26","OTU_27","C7",0.310741088180113,"C7","Control",2.85,2.6,6,2.92,7.8,30,38,1669,157,3.6,0.8,1.4,58,2.34961412815669,0.57865955070762,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"27","OTU_151","N5",0.310516198602841,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,50,1.75482264776461,0.448571658533116,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"28","OTU_151","N4",0.288480472595996,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,58,1.71997182642564,0.423592160254007,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"29","OTU_248","N2",0.270711238220263,"N2","Nutrient addition",34.38,4.06,9,9.06,7.4,73,96,1532,161,3.8,24.8,0.7,46,1.72798236319609,0.451330428799277,"Fungi","","","","",""
"30","OTU_248","N7",0.264803788269492,"N7","Nutrient addition",12.42,8.83,15,9.85,7.7,46,104,1651,201,3.9,20.7,1.7,81,2.80741207452895,0.638854148885519,"Fungi","","","","",""
"31","OTU_199","D7",0.259927797833935,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,57,2.4103220126182,0.596164098089502,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",""
"32","OTU_216","C8",0.251700042207944,"C8","Control",5.41,3.25,7,5.55,7.9,26,39,1747,219,4.9,2.4,1.1,54,2.28532029071457,0.57290785423996,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"33","OTU_248","N3",0.19977495428759,"N3","Nutrient addition",19.86,7.4,21,10.42,7.6,86,153,1587,162,4.8,21.8,0.4,41,1.52540005866281,0.41076355359829,"Fungi","","","","",""
"34","OTU_183","C7",0.197842401500938,"C7","Control",2.85,2.6,6,2.92,7.8,30,38,1669,157,3.6,0.8,1.4,58,2.34961412815669,0.57865955070762,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Fibulochlamys"
"35","OTU_27","N4",0.197243190022973,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,58,1.71997182642564,0.423592160254007,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"36","OTU_27","N5",0.1858502508322,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,50,1.75482264776461,0.448571658533116,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"37","OTU_151","D4",0.178067419944676,"D4","Water withholding",1.82,1.07,4,7.7,7.8,26,39,1547,160,3.2,3.8,0.8,46,0.961351462762288,0.251094673855812,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"38","OTU_27","N6",0.174785503305359,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.74913863537929,0.438492261428277,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"39","OTU_248","C7",0.17406191369606,"C7","Control",2.85,2.6,6,2.92,7.8,30,38,1669,157,3.6,0.8,1.4,58,2.34961412815669,0.57865955070762,"Fungi","","","","",""
"40","OTU_248","D6",0.173285198555957,"D6","Water withholding",1.01,1.47,5,6.32,7.8,31,39,1649,189,3.3,21.2,1.1,43,1.45331638642236,0.386396985461745,"Fungi","","","","",""
"41","OTU_151","N2",0.15331239157954,"N2","Nutrient addition",34.38,4.06,9,9.06,7.4,73,96,1532,161,3.8,24.8,0.7,46,1.72798236319609,0.451330428799277,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"42","OTU_248","C6",0.148389516620564,"C6","Control",5.33,2.48,6,3.41,7.9,32,38,1567,151,3.6,0.3,0.6,37,1.24218614084706,0.344008413067863,"Fungi","","","","",""
"43","OTU_248","N1",0.145717098785691,"N1","Nutrient addition",20.78,15.33,39,35.7,7.7,36,94,1659,187,3.4,28.3,0.7,38,1.25127620328785,0.343985310132687,"Fungi","","","","",""
"44","OTU_152","D2",0.138778189319706,"D2","Water withholding",2.82,0.52,2,3.85,7.7,34,41,1644,184,3.3,37.3,1.4,40,1.68467800497441,0.45669098866747,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"45","OTU_151","N3",0.129541938206198,"N3","Nutrient addition",19.86,7.4,21,10.42,7.6,86,153,1587,162,4.8,21.8,0.4,41,1.52540005866281,0.41076355359829,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"46","OTU_71","C7",0.125,"C7","Control",2.85,2.6,6,2.92,7.8,30,38,1669,157,3.6,0.8,1.4,58,2.34961412815669,0.57865955070762,"Fungi","Ascomycota","Dothideomycetes","","",""
"47","OTU_152","D1",0.123868910872521,"D1","Water withholding",2.92,2.51,6,4.76,7.9,32,39,1638,172,3.1,3,0.7,52,1.71015231049572,0.43281367394611,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"48","OTU_151","D6",0.121055839467392,"D6","Water withholding",1.01,1.47,5,6.32,7.8,31,39,1649,189,3.3,21.2,1.1,43,1.45331638642236,0.386396985461745,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"49","OTU_152","D3",0.120258802569272,"D3","Water withholding",0.86,0.8,6,1.87,7.7,31,39,1599,176,4.2,2.9,1.3,52,1.6785340795069,0.424811578089525,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"50","OTU_248","C5",0.119789957335084,"C5","Control",3.29,2.21,7,1.52,7.9,32,38,1699,163,3.7,0.9,0.7,36,1.17650432456311,0.328309782861085,"Fungi","","","","",""
"51","OTU_248","D7",0.101223686061231,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,57,2.4103220126182,0.596164098089502,"Fungi","","","","",""
"52","OTU_152","N5",0.0983637301326832,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,50,1.75482264776461,0.448571658533116,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"53","OTU_151","N7",0.0970509634769563,"N7","Nutrient addition",12.42,8.83,15,9.85,7.7,46,104,1651,201,3.9,20.7,1.7,81,2.80741207452895,0.638854148885519,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"54","OTU_152","C3",0.0914248206666979,"C3","Control",5.42,2.37,6,5.94,7.9,34,38,1657,135,3.4,0.5,1,20,0.731718049529395,0.244253485529707,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"55","OTU_154","N7",0.0895025552065263,"N7","Nutrient addition",12.42,8.83,15,9.85,7.7,46,104,1651,201,3.9,20.7,1.7,81,2.80741207452895,0.638854148885519,"Fungi","Ascomycota","","","",""
"56","OTU_151","C7",0.0883677298311445,"C7","Control",2.85,2.6,6,2.92,7.8,30,38,1669,157,3.6,0.8,1.4,58,2.34961412815669,0.57865955070762,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"57","OTU_151","C2",0.0873458671292606,"C2","Control",4.28,5.45,10,5.18,8,30,39,1607,164,3.1,6.7,1.2,37,0.596582803545761,0.165216384857913,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"58","OTU_152","N6",0.0866425992779783,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.74913863537929,0.438492261428277,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"59","OTU_151","C1",0.083360682638661,"C1","Control",3.5,3.78,7,2.52,7.7,29,39,1648,158,3.2,0.6,1.4,31,0.611420396886149,0.178049701550306,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"60","OTU_152","N4",0.0827980683576351,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,58,1.71997182642564,0.423592160254007,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"61","OTU_151","C8",0.078553674436055,"C8","Control",5.41,3.25,7,5.55,7.9,26,39,1747,219,4.9,2.4,1.1,54,2.28532029071457,0.57290785423996,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"62","OTU_27","D3",0.0735618172441277,"D3","Water withholding",0.86,0.8,6,1.87,7.7,31,39,1599,176,4.2,2.9,1.3,52,1.6785340795069,0.424811578089525,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"63","OTU_152","C8",0.0708155512826525,"C8","Control",5.41,3.25,7,5.55,7.9,26,39,1747,219,4.9,2.4,1.1,54,2.28532029071457,0.57290785423996,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"64","OTU_27","D2",0.0685920577617329,"D2","Water withholding",2.82,0.52,2,3.85,7.7,34,41,1644,184,3.3,37.3,1.4,40,1.68467800497441,0.45669098866747,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"65","OTU_152","D5",0.0679356744338694,"D5","Water withholding",2.77,1.39,6,2.42,7.6,28,39,1636,176,3.4,2.5,0.8,24,0.657729069612995,0.206959700723818,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"66","OTU_27","D1",0.0655914482629284,"D1","Water withholding",2.92,2.51,6,4.76,7.9,32,39,1638,172,3.1,3,0.7,52,1.71015231049572,0.43281367394611,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"67","OTU_151","N1",0.0647006423179708,"N1","Nutrient addition",20.78,15.33,39,35.7,7.7,36,94,1659,187,3.4,28.3,0.7,38,1.25127620328785,0.343985310132687,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"68","OTU_151","C6",0.0643255661306203,"C6","Control",5.33,2.48,6,3.41,7.9,32,38,1567,151,3.6,0.3,0.6,37,1.24218614084706,0.344008413067863,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"69","OTU_152","N7",0.06076234235079,"N7","Nutrient addition",12.42,8.83,15,9.85,7.7,46,104,1651,201,3.9,20.7,1.7,81,2.80741207452895,0.638854148885519,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"70","OTU_151","C5",0.0606685733039524,"C5","Control",3.29,2.21,7,1.52,7.9,32,38,1699,163,3.7,0.9,0.7,36,1.17650432456311,0.328309782861085,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"71","OTU_216","D1",0.0572928876177974,"D1","Water withholding",2.92,2.51,6,4.76,7.9,32,39,1638,172,3.1,3,0.7,52,1.71015231049572,0.43281367394611,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"72","OTU_183","D7",0.056870926907028,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,57,2.4103220126182,0.596164098089502,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Fibulochlamys"
"73","OTU_152","C7",0.0565196998123827,"C7","Control",2.85,2.6,6,2.92,7.8,30,38,1669,157,3.6,0.8,1.4,58,2.34961412815669,0.57865955070762,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"74","OTU_152","C4",0.0525106662290778,"C4","Control",4.75,5.08,4,4,7.9,27,38,1574,129,3.3,0.5,1.2,21,0.594608343107787,0.195304306429225,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"75","OTU_216","D2",0.0481035210277088,"D2","Water withholding",2.82,0.52,2,3.85,7.7,34,41,1644,184,3.3,37.3,1.4,40,1.68467800497441,0.45669098866747,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"76","OTU_216","D3",0.0458061793801866,"D3","Water withholding",0.86,0.8,6,1.87,7.7,31,39,1599,176,4.2,2.9,1.3,52,1.6785340795069,0.424811578089525,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"77","OTU_113","D7",0.045431103192836,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,57,2.4103220126182,0.596164098089502,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"78","OTU_113","N7",0.0442589901073656,"N7","Nutrient addition",12.42,8.83,15,9.85,7.7,46,104,1651,201,3.9,20.7,1.7,81,2.80741207452895,0.638854148885519,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
"79","OTU_154","C8",0.0426300239178352,"C8","Control",5.41,3.25,7,5.55,7.9,26,39,1747,219,4.9,2.4,1.1,54,2.28532029071457,0.57290785423996,"Fungi","Ascomycota","","","",""
"80","OTU_216","N6",0.0425711472642881,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.74913863537929,0.438492261428277,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"81","OTU_216","N2",0.042055417506681,"N2","Nutrient addition",34.38,4.06,9,9.06,7.4,73,96,1532,161,3.8,24.8,0.7,46,1.72798236319609,0.451330428799277,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"82","OTU_216","N5",0.0405551127572788,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,50,1.75482264776461,0.448571658533116,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"83","OTU_216","N7",0.0396174222889024,"N7","Nutrient addition",12.42,8.83,15,9.85,7.7,46,104,1651,201,3.9,20.7,1.7,81,2.80741207452895,0.638854148885519,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"84","OTU_216","N4",0.0372263115945426,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,58,1.71997182642564,0.423592160254007,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"85","OTU_154","D7",0.0336162032912935,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,57,2.4103220126182,0.596164098089502,"Fungi","Ascomycota","","","",""
"86","OTU_151","C3",0.0334286651976183,"C3","Control",5.42,2.37,6,5.94,7.9,34,38,1657,135,3.4,0.5,1,20,0.731718049529395,0.244253485529707,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"87","OTU_218","C8",0.0328284012568588,"C8","Control",5.41,3.25,7,5.55,7.9,26,39,1747,219,4.9,2.4,1.1,54,2.28532029071457,0.57290785423996,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza"
"88","OTU_244","D1",0.0291152890430869,"D1","Water withholding",2.92,2.51,6,4.76,7.9,32,39,1638,172,3.1,3,0.7,52,1.71015231049572,0.43281367394611,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","",""
"89","OTU_152","N2",0.028552674762061,"N2","Nutrient addition",34.38,4.06,9,9.06,7.4,73,96,1532,161,3.8,24.8,0.7,46,1.72798236319609,0.451330428799277,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
"90","OTU_151","D5",0.0276618688171035,"D5","Water withholding",2.77,1.39,6,2.42,7.6,28,39,1636,176,3.4,2.5,0.8,24,0.657729069612995,0.206959700723818,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"91","OTU_216","N3",0.0260209104974448,"N3","Nutrient addition",19.86,7.4,21,10.42,7.6,86,153,1587,162,4.8,21.8,0.4,41,1.52540005866281,0.41076355359829,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"92","OTU_244","D3",0.0237235688499226,"D3","Water withholding",0.86,0.8,6,1.87,7.7,31,39,1599,176,4.2,2.9,1.3,52,1.6785340795069,0.424811578089525,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","",""
"93","OTU_216","D6",0.0233484926625721,"D6","Water withholding",1.01,1.47,5,6.32,7.8,31,39,1649,189,3.3,21.2,1.1,43,1.45331638642236,0.386396985461745,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"94","OTU_244","D2",0.0232547236157344,"D2","Water withholding",2.82,0.52,2,3.85,7.7,34,41,1644,184,3.3,37.3,1.4,40,1.68467800497441,0.45669098866747,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","",""
"95","OTU_151","C4",0.0222232641005204,"C4","Control",4.75,5.08,4,4,7.9,27,38,1574,129,3.3,0.5,1.2,21,0.594608343107787,0.195304306429225,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
"96","OTU_216","N1",0.0215199962492381,"N1","Nutrient addition",20.78,15.33,39,35.7,7.7,36,94,1659,187,3.4,28.3,0.7,38,1.25127620328785,0.343985310132687,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"97","OTU_216","C6",0.0209573819682123,"C6","Control",5.33,2.48,6,3.41,7.9,32,38,1567,151,3.6,0.3,0.6,37,1.24218614084706,0.344008413067863,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"98","OTU_158","D7",0.0205823057808617,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,57,2.4103220126182,0.596164098089502,"Fungi","Ascomycota","Pezizomycetes","","",""
"99","OTU_84","C8",0.0198846316184402,"C8","Control",5.41,3.25,7,5.55,7.9,26,39,1747,219,4.9,2.4,1.1,54,2.28532029071457,0.57290785423996,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces"
"100","OTU_248","D4",0.0196446153124853,"D4","Water withholding",1.82,1.07,4,7.7,7.8,26,39,1547,160,3.2,3.8,0.8,46,0.961351462762288,0.251094673855812,"Fungi","","","","",""
"101","OTU_216","C5",0.0194570772188101,"C5","Control",3.29,2.21,7,1.52,7.9,32,38,1699,163,3.7,0.9,0.7,36,1.17650432456311,0.328309782861085,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",""
"102","OTU_244","N6",0.0183787331801772,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.74913863537929,0.438492261428277,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","",""
"103","OTU_282","D7",0.0183787331801772,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,57,2.4103220126182,0.596164098089502,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron"
"104","OTU_244","N5",0.0180505415162455,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,50,1.75482264776461,0.448571658533116,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","",""
"105","OTU_20","N7",0.0172535046181256,"N7","Nutrient addition",12.42,8.83,15,9.85,7.7,46,104,1651,201,3.9,20.7,1.7,81,2.80741207452895,0.638854148885519,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","",""
"106","OTU_248","C8",0.0169300755053229,"C8","Control",5.41,3.25,7,5.55,7.9,26,39,1747,219,4.9,2.4,1.1,54,2.28532029071457,0.57290785423996,"Fungi","","","","",""
"107","OTU_244","N2",0.0167377748605185,"N2","Nutrient addition",34.38,4.06,9,9.06,7.4,73,96,1532,161,3.8,24.8,0.7,46,1.72798236319609,0.451330428799277,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","",""
"108","OTU_244","N4",0.0160345070092363,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,58,1.71997182642564,0.423592160254007,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","",""
"109","OTU_20","C7",0.0157598499061914,"C7","Control",2.85,2.6,6,2.92,7.8,30,38,1669,157,3.6,0.8,1.4,58,2.34961412815669,0.57865955070762,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","",""
"110","OTU_152","N3",0.0136902808382953,"N3","Nutrient addition",19.86,7.4,21,10.42,7.6,86,153,1587,162,4.8,21.8,0.4,41,1.52540005866281,0.41076355359829,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia"
