Plant Name,Treatment,Shoot_mass_g,Pod_mass_g,N_pods,Root_mass_g,pH,P,K,Ca,Mg,OM,NO3,NH4
C1,Control,3.5,3.78,7,2.52,7.7,29,39,1648,158,3.2,0.6,1.4
C2,Control,4.28,5.45,10,5.18,8,30,39,1607,164,3.1,6.7,1.2
C3,Control,5.42,2.37,6,5.94,7.9,34,38,1657,135,3.4,0.5,1
C4,Control,4.75,5.08,4,4,7.9,27,38,1574,129,3.3,0.5,1.2
C5,Control,3.29,2.21,7,1.52,7.9,32,38,1699,163,3.7,0.9,0.7
C6,Control,5.33,2.48,6,3.41,7.9,32,38,1567,151,3.6,0.3,0.6
C7,Control,2.85,2.6,6,2.92,7.8,30,38,1669,157,3.6,0.8,1.4
C8,Control,5.41,3.25,7,5.55,7.9,26,39,1747,219,4.9,2.4,1.1
D1,Water withholding,2.92,2.51,6,4.76,7.9,32,39,1638,172,3.1,3,0.7
D2,Water withholding,2.82,0.52,2,3.85,7.7,34,41,1644,184,3.3,37.3,1.4
D3,Water withholding,0.86,0.8,6,1.87,7.7,31,39,1599,176,4.2,2.9,1.3
D4,Water withholding,1.82,1.07,4,7.7,7.8,26,39,1547,160,3.2,3.8,0.8
D5,Water withholding,2.77,1.39,6,2.42,7.6,28,39,1636,176,3.4,2.5,0.8
D6,Water withholding,1.01,1.47,5,6.32,7.8,31,39,1649,189,3.3,21.2,1.1
D7,Water withholding,1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1
N1,Nutrient addition,20.78,15.33,39,35.7,7.7,36,94,1659,187,3.4,28.3,0.7
N2,Nutrient addition,34.38,4.06,9,9.06,7.4,73,96,1532,161,3.8,24.8,0.7
N3,Nutrient addition,19.86,7.4,21,10.42,7.6,86,153,1587,162,4.8,21.8,0.4
N4,Nutrient addition,22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9
N5,Nutrient addition,29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4
N6,Nutrient addition,27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5
N7,Nutrient addition,12.42,8.83,15,9.85,7.7,46,104,1651,201,3.9,20.7,1.7
