OTUID,Occ.CN,Domain,Phylum,Class,Order,Family,Genus,Species
ABCM01000001.364165.365666,0.0625,Bacteria, Bacteroidetes, Bacteroidia, Sphingobacteriales, Sphingobacteriaceae, Pedobacter,NA
AF013121.1.1532,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus pseudomycoides
AM292417.1.1546,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillaceae,NA
HQ120337.1.1406,0.0625,Bacteria, BRC1, uncultured bacterium, uncultured bacterium, uncultured bacterium, BRC1, uncultured bacterium
HQ330573.1.1396,0.0625,Bacteria, Proteobacteria, Gammaproteobacteria, Steroidobacterales, Steroidobacteraceae, Steroidobacteraceae,NA
HQ457013.1.1476,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
JN417563.1.1533,0.0625,Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae, Nitrospira,NA
JN882123.1.1511,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
KJ191972.1.1452,0.0625,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, uncultured, Rhizobiales, uncultured bacterium
KR029346.1.1530,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cereus
KR029371.1.1539,0.0625,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
ARNI01000005.12.1498,0,Bacteria, Bacteroidetes, Bacteroidia, Cytophagales, Spirosomaceae, Dyadobacter,NA
DQ129420.1.1508,0,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus,NA
KJ600949.1.1573,0,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, uncultured bacterium
KU517702.1.1523,0,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus pumilus
KX783566.1.1548,0,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Domibacillus,NA
