cum.abun	relabun
KP232906.1.1565	21.8154964984737	0.908979020769737
KJ685888.1.1525	1.72508529358951	0.0718785538995631
LNNI01000005.225118.226745	0.354372418746633	0.0147655174477764
EU771840.1.1404	0.0415694020470462	0.00173205841862692
KR029299.1.1517	0.02828155862812	0.00117839827617166
LQXD01000001.79025.80958	0.0148141497575866	0.000617256239899443
HQ620695.1.1592	0.00888848985455198	0.000370353743939666
CP006941.13451.15024	0.00556652899982044	0.000231938708325851
HAFT01016056.1.1423	0.001616089064464	6.73370443526665e-05
CP015378.146768.148325	0.000897827258035554	3.74094690848147e-05
FPLN01008484.58.1586	0.000808044532231999	3.36685221763333e-05
JX524820.1.1514	0.000628479080624888	2.61866283593703e-05
CP019158.175094.176630	0.000538696354821332	2.24456814508889e-05
KC554661.1.1526	0.000269348177410666	1.12228407254444e-05
HQ598262.1.1507	0.000179565451607111	7.48189381696295e-06
OTU_dn_18	0.000179565451607111	7.48189381696295e-06
ARNI01000005.12.1498	0.000179565451607111	7.48189381696295e-06
AB905983.1.1517	0.000179565451607111	7.48189381696295e-06
OTU_dn_38	8.97827258035554e-05	3.74094690848148e-06
KR088549.1.1526	8.97827258035554e-05	3.74094690848148e-06
JN417563.1.1533	8.97827258035554e-05	3.74094690848148e-06
GQ483458.1.1495	8.97827258035554e-05	3.74094690848148e-06
ABCM01000001.364165.365666	8.97827258035554e-05	3.74094690848148e-06
