OTUID	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	N1	N2	N3	N4	N5	N6	N7	N8	taxonomy
HQ453970.1.1570	1.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	131.0	124.0	129.0	2623.0	2863.0	2542.0	0.0	0.0	0.0	558.0	461.0	394.0	1.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Virgibacillus
CP003017.4738540.4740093	20.0	6.0	8.0	21.0	21.0	9.0	11.0	13.0	0.0	2.0	1.0	0.0	0.0	14.0	16.0	9.0	1.0	0.0	4.0	10.0	6.0	9.0	1.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
AB533926.1.1539	35.0	15.0	19.0	39.0	42.0	55.0	27.0	29.0	0.0	0.0	1.0	0.0	0.0	8.0	11.0	7.0	0.0	0.0	0.0	2.0	2.0	3.0	8.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__uncultured bacterium
KC554661.1.1526	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Frankiales; D_4__Geodermatophilaceae; D_5__Blastococcus; D_6__uncultured bacterium
KJ882402.1.1473	27.0	14.0	10.0	8.0	16.0	31.0	24.0	16.0	1.0	0.0	0.0	0.0	0.0	10.0	4.0	8.0	1.0	0.0	0.0	2.0	0.0	2.0	2.0	4.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
DQ148952.1.1551	7.0	0.0	7.0	4.0	5.0	2.0	0.0	3.0	180.0	170.0	200.0	358.0	234.0	15.0	9.0	14.0	248.0	190.0	176.0	1.0	1.0	0.0	1.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
AY148429.1.1547	1.0	0.0	0.0	1.0	3.0	1.0	0.0	2.0	0.0	0.0	3.0	2.0	0.0	50.0	60.0	56.0	0.0	0.0	0.0	7.0	5.0	11.0	0.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
HQ120337.1.1406	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__BRC1; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
BABK02029359.1608.3968	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rickettsiales; D_4__Mitochondria
KR029371.1.1539	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
