OTU ID	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	N1	N2	N3	N4	N5	N6	N7	N8	taxonomy
KT375323.1.1471	15.0	16.0	8.0	8.0	8.0	13.0	10.0	11.0	0.0	1.0	1.0	2.0	0.0	4.0	2.0	11.0	0.0	0.0	0.0	3.0	3.0	6.0	8.0	13.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
KY621940.1.1212	33.0	32.0	38.0	29.0	27.0	23.0	21.0	32.0	0.0	0.0	0.0	2.0	0.0	9.0	13.0	11.0	0.0	2.0	0.0	17.0	13.0	9.0	17.0	20.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus sp.
FN430384.1.1490	7.0	8.0	1.0	3.0	0.0	1.0	1.0	1.0	10060.0	10034.0	8348.0	8481.0	8672.0	28.0	51.0	22.0	10186.0	10309.0	10332.0	9.0	3.0	1.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus cereus
HM100194.1.1428	17.0	11.0	4.0	2.0	8.0	12.0	13.0	15.0	0.0	1.0	0.0	0.0	1.0	7.0	4.0	5.0	1.0	0.0	0.0	1.0	2.0	4.0	6.0	7.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus megaterium
FNLH01000015.365395.366926	7.0	10.0	9.0	10.0	6.0	15.0	11.0	7.0	0.0	1.0	3.0	10.0	15.0	16.0	16.0	16.0	0.0	0.0	0.0	11.0	27.0	10.0	6.0	9.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
EU231617.1.1548	30.0	34.0	46.0	43.0	38.0	44.0	44.0	30.0	13.0	18.0	9.0	6.0	15.0	30.0	26.0	28.0	10.0	12.0	5.0	16.0	34.0	38.0	36.0	40.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
DQ129521.1.1515	10.0	6.0	13.0	13.0	19.0	22.0	22.0	21.0	1.0	0.0	1.0	3.0	4.0	119.0	108.0	101.0	0.0	0.0	0.0	78.0	120.0	166.0	2.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__uncultured bacterium
LT161887.1.1539	5.0	5.0	0.0	4.0	7.0	2.0	1.0	7.0	2.0	1.0	1.0	1.0	3.0	2.0	5.0	3.0	0.0	4.0	2.0	2.0	1.0	5.0	2.0	4.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
AY559419.1.1598	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	418.0	375.0	309.0	1526.0	1492.0	1523.0	0.0	0.0	0.0	747.0	761.0	769.0	5.0	4.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__uncultured bacterium
AFEU01000001.796818.798378	1.0	2.0	0.0	1.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	2.0	2.0	3.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
