"","OTU","Sample","Abundance","Plant.Name","Treatment","Shoot_mass_g","Pod_mass_g","N_pods","Root_mass_g","pH","P","K","Ca","Mg","OM","NO3","NH4","Richness","Shannon","Pielou","PD_whole_tree","Domain","Phylum","Class","Order","Family","Genus"
"26","KJ685888.1.1525","D7",0.319655203376134,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,52,1.70570270229554,0.431687545436433,2.70387,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Virgibacillus"
"27","KJ685888.1.1525","D8",0.311214869354404,"D8","Water withholding",0.99,1.79,3,3.46,7.8,34,43,1588,176,3,42.4,1.4,55,1.6330743654033,0.407521483719243,2.54848,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Virgibacillus"
"28","KJ685888.1.1525","N4",0.193409356200054,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,54,1.6608691990153,0.416363961256203,3.07988,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Virgibacillus"
"29","KJ685888.1.1525","N5",0.190715632576098,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,56,1.66806949705806,0.414390996169932,3.07158,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Virgibacillus"
"30","KJ685888.1.1525","N6",0.180299901230134,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.72200848179253,0.431690992415902,3.01399,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Virgibacillus"
"31","LNNI01000005.225118.226745","N4",0.134327018047948,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,54,1.6608691990153,0.416363961256203,3.07988,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," Pseudomonadaceae"," Pseudomonas"
"32","LNNI01000005.225118.226745","N6",0.112687438268834,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.72200848179253,0.431690992415902,3.01399,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," Pseudomonadaceae"," Pseudomonas"
"33","LNNI01000005.225118.226745","N5",0.0950884439256532,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,56,1.66806949705806,0.414390996169932,3.07158,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Pseudomonadales"," Pseudomonadaceae"," Pseudomonas"
"34","KJ685888.1.1525","D3",0.0861991559665978,"D3","Water withholding",0.86,0.8,6,1.87,7.7,31,39,1599,176,4.2,2.9,1.3,38,1.0897799791927,0.299588774352129,0.98141,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Virgibacillus"
"35","KJ685888.1.1525","D4",0.077579240369938,"D4","Water withholding",1.82,1.07,4,7.7,7.8,26,39,1547,160,3.2,3.8,0.8,35,1.03803564587682,0.291964563785062,1.53812,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Virgibacillus"
"36","KJ685888.1.1525","D5",0.0659064379994613,"D5","Water withholding",2.77,1.39,6,2.42,7.6,28,39,1636,176,3.4,2.5,0.8,29,1.02079034308092,0.303148399968475,1.15845,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Virgibacillus"
"37","EU771840.1.1404","D5",0.0088892879590554,"D5","Water withholding",2.77,1.39,6,2.42,7.6,28,39,1636,176,3.4,2.5,0.8,29,1.02079034308092,0.303148399968475,1.15845,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Solibacillus"
"38","EU771840.1.1404","N1",0.0059261919727036,"N1","Nutrient addition",20.78,15.33,39,35.7,7.7,36,94,1659,187,3.4,28.3,0.7,19,0.408945801780567,0.138887511228485,0.8546,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Solibacillus"
"39","KR029299.1.1517","D6",0.00520786567298195,"D6","Water withholding",1.01,1.47,5,6.32,7.8,31,39,1649,189,3.3,21.2,1.1,54,1.71295715088289,0.429421910663761,2.67229,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Sporosarcina"
"40","EU771840.1.1404","D4",0.00502828409805154,"D4","Water withholding",1.82,1.07,4,7.7,7.8,26,39,1547,160,3.2,3.8,0.8,35,1.03803564587682,0.291964563785062,1.53812,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Solibacillus"
"41","EU771840.1.1404","D1",0.00475891173565592,"D1","Water withholding",2.92,2.51,6,4.76,7.9,32,39,1638,172,3.1,3,0.7,22,0.470668673147825,0.152268589076303,1.48423,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Solibacillus"
"42","KR029299.1.1517","D7",0.00475891173565592,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,52,1.70570270229554,0.431687545436433,2.70387,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Sporosarcina"
"43","KR029299.1.1517","N6",0.00466912094819072,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.72200848179253,0.431690992415902,3.01399,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Sporosarcina"
"44","KR029299.1.1517","D8",0.0044895393732603,"D8","Water withholding",0.99,1.79,3,3.46,7.8,34,43,1588,176,3,42.4,1.4,55,1.6330743654033,0.407521483719243,2.54848,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Sporosarcina"
"45","EU771840.1.1404","D3",0.00422016701086469,"D3","Water withholding",0.86,0.8,6,1.87,7.7,31,39,1599,176,4.2,2.9,1.3,38,1.0897799791927,0.299588774352129,0.98141,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Solibacillus"
"46","EU771840.1.1404","N3",0.00413037622339948,"N3","Nutrient addition",19.86,7.4,21,10.42,7.6,86,153,1587,162,4.8,21.8,0.4,17,0.348751670731124,0.123094037892617,0.83069,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Solibacillus"
"47","KR029299.1.1517","N5",0.00413037622339948,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,56,1.66806949705806,0.414390996169932,3.07158,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Sporosarcina"
"48","EU771840.1.1404","D2",0.00404058543593427,"D2","Water withholding",2.82,0.52,2,3.85,7.7,34,41,1644,184,3.3,37.3,1.4,22,0.480437312580356,0.155428894888964,0.83375,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Solibacillus"
"49","EU771840.1.1404","N2",0.00377121307353866,"N2","Nutrient addition",34.38,4.06,9,9.06,7.4,73,96,1532,161,3.8,24.8,0.7,18,0.358094432011303,0.123892170975249,1.0486,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Solibacillus"
"50","KR029299.1.1517","N4",0.00269372362395618,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,54,1.6608691990153,0.416363961256203,3.07988,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Sporosarcina"
"51","HQ620695.1.1592","D6",0.00197539732423453,"D6","Water withholding",1.01,1.47,5,6.32,7.8,31,39,1649,189,3.3,21.2,1.1,54,1.71295715088289,0.429421910663761,2.67229,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillaceae"
"52","LQXD01000001.79025.80958","D8",0.00197539732423453,"D8","Water withholding",0.99,1.79,3,3.46,7.8,34,43,1588,176,3,42.4,1.4,55,1.6330743654033,0.407521483719243,2.54848,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"53","CP006941.13451.15024","N4",0.00188560653676933,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,54,1.6608691990153,0.416363961256203,3.07988,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Paenibacillaceae"," Paenibacillus"
"54","CP006941.13451.15024","N6",0.00188560653676933,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.72200848179253,0.431690992415902,3.01399,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Paenibacillaceae"," Paenibacillus"
"55","CP006941.13451.15024","N5",0.00179581574930412,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,56,1.66806949705806,0.414390996169932,3.07158,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Paenibacillaceae"," Paenibacillus"
"56","LQXD01000001.79025.80958","D4",0.00179581574930412,"D4","Water withholding",1.82,1.07,4,7.7,7.8,26,39,1547,160,3.2,3.8,0.8,35,1.03803564587682,0.291964563785062,1.53812,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"57","LQXD01000001.79025.80958","N4",0.00170602496183892,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,54,1.6608691990153,0.416363961256203,3.07988,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"58","HQ620695.1.1592","N6",0.00161623417437371,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.72200848179253,0.431690992415902,3.01399,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillaceae"
"59","LQXD01000001.79025.80958","D3",0.00134686181197809,"D3","Water withholding",0.86,0.8,6,1.87,7.7,31,39,1599,176,4.2,2.9,1.3,38,1.0897799791927,0.299588774352129,0.98141,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"60","LQXD01000001.79025.80958","D2",0.00125707102451289,"D2","Water withholding",2.82,0.52,2,3.85,7.7,34,41,1644,184,3.3,37.3,1.4,22,0.480437312580356,0.155428894888964,0.83375,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"61","LQXD01000001.79025.80958","D7",0.00107748944958247,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,52,1.70570270229554,0.431687545436433,2.70387,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"62","HQ620695.1.1592","D7",0.000987698662117267,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,52,1.70570270229554,0.431687545436433,2.70387,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillaceae"
"63","HQ620695.1.1592","N5",0.000987698662117267,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,56,1.66806949705806,0.414390996169932,3.07158,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillaceae"
"64","HQ620695.1.1592","N4",0.000987698662117267,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,54,1.6608691990153,0.416363961256203,3.07988,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillaceae"
"65","LQXD01000001.79025.80958","D5",0.000897907874652061,"D5","Water withholding",2.77,1.39,6,2.42,7.6,28,39,1636,176,3.4,2.5,0.8,29,1.02079034308092,0.303148399968475,1.15845,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"66","LQXD01000001.79025.80958","N5",0.000897907874652061,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,56,1.66806949705806,0.414390996169932,3.07158,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"67","HQ620695.1.1592","D8",0.000808117087186855,"D8","Water withholding",0.99,1.79,3,3.46,7.8,34,43,1588,176,3,42.4,1.4,55,1.6330743654033,0.407521483719243,2.54848,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillaceae"
"68","LQXD01000001.79025.80958","N2",0.000718326299721649,"N2","Nutrient addition",34.38,4.06,9,9.06,7.4,73,96,1532,161,3.8,24.8,0.7,18,0.358094432011303,0.123892170975249,1.0486,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"69","CP019158.175094.176630","N6",0.000628535512256443,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.72200848179253,0.431690992415902,3.01399,"Bacteria"," Bacteroidetes"," Bacteroidia"," Sphingobacteriales"," Sphingobacteriaceae"," Sphingobacterium"
"70","HAFT01016056.1.1423","N5",0.000628535512256443,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,56,1.66806949705806,0.414390996169932,3.07158,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwelliaceae"
"71","LQXD01000001.79025.80958","N1",0.000628535512256443,"N1","Nutrient addition",20.78,15.33,39,35.7,7.7,36,94,1659,187,3.4,28.3,0.7,19,0.408945801780567,0.138887511228485,0.8546,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"72","LQXD01000001.79025.80958","D6",0.000628535512256443,"D6","Water withholding",1.01,1.47,5,6.32,7.8,31,39,1649,189,3.3,21.2,1.1,54,1.71295715088289,0.429421910663761,2.67229,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"73","LQXD01000001.79025.80958","N6",0.000628535512256443,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.72200848179253,0.431690992415902,3.01399,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"74","LQXD01000001.79025.80958","D1",0.000538744724791236,"D1","Water withholding",2.92,2.51,6,4.76,7.9,32,39,1638,172,3.1,3,0.7,22,0.470668673147825,0.152268589076303,1.48423,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"75","FPLN01008484.58.1586","D7",0.00044895393732603,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,52,1.70570270229554,0.431687545436433,2.70387,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Enterobacteriales"," Enterobacteriaceae"," Escherichia-Shigella"
"76","HAFT01016056.1.1423","N4",0.00044895393732603,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,54,1.6608691990153,0.416363961256203,3.07988,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwelliaceae"
"77","FPLN01008484.58.1586","N4",0.000359163149860824,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,54,1.6608691990153,0.416363961256203,3.07988,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Enterobacteriales"," Enterobacteriaceae"," Escherichia-Shigella"
"78","KJ685888.1.1525","N7",0.000359163149860824,"N7","Nutrient addition",12.42,8.83,15,9.85,7.7,46,104,1651,201,3.9,20.7,1.7,31,0.181748581272079,0.052926400259936,1.62139,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Virgibacillus"
"79","LQXD01000001.79025.80958","N3",0.000359163149860824,"N3","Nutrient addition",19.86,7.4,21,10.42,7.6,86,153,1587,162,4.8,21.8,0.4,17,0.348751670731124,0.123094037892617,0.83069,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Anaerobacillus"
"80","HAFT01016056.1.1423","N6",0.000269372362395618,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.72200848179253,0.431690992415902,3.01399,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwelliaceae"
"81","JX524820.1.1514","C8",0.000269372362395618,"C8","Control",5.41,3.25,7,5.55,7.9,26,39,1747,219,4.9,2.4,1.1,23,0.195175305821906,0.0622470629447706,0.97772,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Paenibacillaceae"," Brevibacillus"
"82","JX524820.1.1514","C7",0.000269372362395618,"C7","Control",2.85,2.6,6,2.92,7.8,30,38,1669,157,3.6,0.8,1.4,20,0.218599711849485,0.072970376484995,0.89665,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Paenibacillaceae"," Brevibacillus"
"83","AB905983.1.1517","N1",0.000179581574930412,"N1","Nutrient addition",20.78,15.33,39,35.7,7.7,36,94,1659,187,3.4,28.3,0.7,19,0.408945801780567,0.138887511228485,0.8546,"Bacteria"," Actinobacteria"," Actinobacteria"," Micrococcales"," Promicromonosporaceae"," Promicromonospora"
"84","ABCM01000001.364165.365666","D6",0.000179581574930412,"D6","Water withholding",1.01,1.47,5,6.32,7.8,31,39,1649,189,3.3,21.2,1.1,54,1.71295715088289,0.429421910663761,2.67229,"Bacteria"," Bacteroidetes"," Bacteroidia"," Sphingobacteriales"," Sphingobacteriaceae"," Pedobacter"
"85","CP015378.146768.148325","N6",0.000179581574930412,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.72200848179253,0.431690992415902,3.01399,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Fictibacillus"
"86","CP019158.175094.176630","N5",0.000179581574930412,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,56,1.66806949705806,0.414390996169932,3.07158,"Bacteria"," Bacteroidetes"," Bacteroidia"," Sphingobacteriales"," Sphingobacteriaceae"," Sphingobacterium"
"87","EU771840.1.1404","D8",0.000179581574930412,"D8","Water withholding",0.99,1.79,3,3.46,7.8,34,43,1588,176,3,42.4,1.4,55,1.6330743654033,0.407521483719243,2.54848,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Solibacillus"
"88","FPLN01008484.58.1586","D6",0.000179581574930412,"D6","Water withholding",1.01,1.47,5,6.32,7.8,31,39,1649,189,3.3,21.2,1.1,54,1.71295715088289,0.429421910663761,2.67229,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Enterobacteriales"," Enterobacteriaceae"," Escherichia-Shigella"
"89","FPLN01008484.58.1586","D8",0.000179581574930412,"D8","Water withholding",0.99,1.79,3,3.46,7.8,34,43,1588,176,3,42.4,1.4,55,1.6330743654033,0.407521483719243,2.54848,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Enterobacteriales"," Enterobacteriaceae"," Escherichia-Shigella"
"90","FPLN01008484.58.1586","N6",0.000179581574930412,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.72200848179253,0.431690992415902,3.01399,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Enterobacteriales"," Enterobacteriaceae"," Escherichia-Shigella"
"91","JX524820.1.1514","C5",0.000179581574930412,"C5","Control",3.29,2.21,7,1.52,7.9,32,38,1699,163,3.7,0.9,0.7,27,0.215504758059561,0.0653869614368462,1.09948,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Paenibacillaceae"," Brevibacillus"
"92","KR029299.1.1517","D3",0.000179581574930412,"D3","Water withholding",0.86,0.8,6,1.87,7.7,31,39,1599,176,4.2,2.9,1.3,38,1.0897799791927,0.299588774352129,0.98141,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Sporosarcina"
"93","ABCM01000001.364165.365666","N2",8.97907874652061e-05,"N2","Nutrient addition",34.38,4.06,9,9.06,7.4,73,96,1532,161,3.8,24.8,0.7,18,0.358094432011303,0.123892170975249,1.0486,"Bacteria"," Bacteroidetes"," Bacteroidia"," Sphingobacteriales"," Sphingobacteriaceae"," Pedobacter"
