"","OTU","Sample","Abundance","Plant.Name","Treatment","Shoot_mass_g","Pod_mass_g","N_pods","Root_mass_g","pH","P","K","Ca","Mg","OM","NO3","NH4","Richness","Shannon","Pielou","PD_whole_tree","Domain","Phylum","Class","Order","Family","Genus"
"1","KP232906.1.1565","C3",1,"C3","Control",5.42,2.37,6,5.94,7.9,34,38,1657,135,3.4,0.5,1,22,0.204313496254696,0.0660985733252276,0.85516,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"2","KP232906.1.1565","C6",1,"C6","Control",5.33,2.48,6,3.41,7.9,32,38,1567,151,3.6,0.3,0.6,23,0.202410758901494,0.0645546586797046,0.86796,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"3","KP232906.1.1565","C4",0.999910209212535,"C4","Control",4.75,5.08,4,4,7.9,27,38,1574,129,3.3,0.5,1.2,26,0.222503392104477,0.0682924491364503,0.96037,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"4","KP232906.1.1565","C2",0.999910209212535,"C2","Control",4.28,5.45,10,5.18,8,30,39,1607,164,3.1,6.7,1.2,21,0.225863026629426,0.0741866848576482,1.11965,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"5","KP232906.1.1565","C1",0.99982041842507,"C1","Control",3.5,3.78,7,2.52,7.7,29,39,1648,158,3.2,0.6,1.4,24,0.241324146918183,0.0759345687016766,1.4484,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"6","KP232906.1.1565","N8",0.99982041842507,"N8","Nutrient addition",17.14,10.55,15,12.51,7.7,42,46,1679,178,3.2,11.5,0.1,31,0.163640369063508,0.0476531679703922,1.01778,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"7","KP232906.1.1565","C7",0.999730627637604,"C7","Control",2.85,2.6,6,2.92,7.8,30,38,1669,157,3.6,0.8,1.4,20,0.218599711849485,0.072970376484995,0.89665,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"8","KP232906.1.1565","C8",0.999730627637604,"C8","Control",5.41,3.25,7,5.55,7.9,26,39,1747,219,4.9,2.4,1.1,23,0.195175305821906,0.0622470629447706,0.97772,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"9","KP232906.1.1565","C5",0.999640836850139,"C5","Control",3.29,2.21,7,1.52,7.9,32,38,1699,163,3.7,0.9,0.7,27,0.215504758059561,0.0653869614368462,1.09948,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"10","KP232906.1.1565","N7",0.999461255275209,"N7","Nutrient addition",12.42,8.83,15,9.85,7.7,46,104,1651,201,3.9,20.7,1.7,31,0.181748581272079,0.052926400259936,1.62139,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"11","KP232906.1.1565","N2",0.995420669839274,"N2","Nutrient addition",34.38,4.06,9,9.06,7.4,73,96,1532,161,3.8,24.8,0.7,18,0.358094432011303,0.123892170975249,1.0486,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"12","KP232906.1.1565","N3",0.995420669839274,"N3","Nutrient addition",19.86,7.4,21,10.42,7.6,86,153,1587,162,4.8,21.8,0.4,17,0.348751670731124,0.123094037892617,0.83069,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"13","KP232906.1.1565","D2",0.994702343539553,"D2","Water withholding",2.82,0.52,2,3.85,7.7,34,41,1644,184,3.3,37.3,1.4,22,0.480437312580356,0.155428894888964,0.83375,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"14","KP232906.1.1565","D1",0.994432971177157,"D1","Water withholding",2.92,2.51,6,4.76,7.9,32,39,1638,172,3.1,3,0.7,22,0.470668673147825,0.152268589076303,1.48423,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"15","KP232906.1.1565","N1",0.993175900152644,"N1","Nutrient addition",20.78,15.33,39,35.7,7.7,36,94,1659,187,3.4,28.3,0.7,19,0.408945801780567,0.138887511228485,0.8546,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"16","KP232906.1.1565","D5",0.924216575379366,"D5","Water withholding",2.77,1.39,6,2.42,7.6,28,39,1636,176,3.4,2.5,0.8,29,1.02079034308092,0.303148399968475,1.15845,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"17","KP232906.1.1565","D4",0.915506868995241,"D4","Water withholding",1.82,1.07,4,7.7,7.8,26,39,1547,160,3.2,3.8,0.8,35,1.03803564587682,0.291964563785062,1.53812,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"18","KP232906.1.1565","D3",0.907964442848164,"D3","Water withholding",0.86,0.8,6,1.87,7.7,31,39,1599,176,4.2,2.9,1.3,38,1.0897799791927,0.299588774352129,0.98141,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"19","KP232906.1.1565","N5",0.705306635539194,"N5","Nutrient addition",29.51,8.49,18,21.29,7.6,69,141,1533,149,2.9,19,1.4,56,1.66806949705806,0.414390996169932,3.07158,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"20","KP232906.1.1565","N6",0.696956092304929,"N6","Nutrient addition",27.72,4.97,16,13.02,7.6,63,162,1509,156,3.2,29.6,1.5,54,1.72200848179253,0.431690992415902,3.01399,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"21","KP232906.1.1565","D8",0.680973332136123,"D8","Water withholding",0.99,1.79,3,3.46,7.8,34,43,1588,176,3,42.4,1.4,55,1.6330743654033,0.407521483719243,2.54848,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"22","KP232906.1.1565","D7",0.67298195205172,"D7","Water withholding",1.15,1.15,2,2.85,7.7,30,39,1752,187,4.1,3.4,1,52,1.70570270229554,0.431687545436433,2.70387,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"23","KP232906.1.1565","D6",0.665529316692107,"D6","Water withholding",1.01,1.47,5,6.32,7.8,31,39,1649,189,3.3,21.2,1.1,54,1.71295715088289,0.429421910663761,2.67229,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"24","KP232906.1.1565","N4",0.664002873305199,"N4","Nutrient addition",22.51,10.75,24,8.33,7.4,69,97,1527,157,3.4,26.7,0.9,54,1.6608691990153,0.416363961256203,3.07988,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"
"25","KJ685888.1.1525","D6",0.326299721648559,"D6","Water withholding",1.01,1.47,5,6.32,7.8,31,39,1649,189,3.3,21.2,1.1,54,1.71295715088289,0.429421910663761,2.67229,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Virgibacillus"
