OTU ID	C1	C2	C3	C4	C5	C6	C7	C8	D1	D2	D3	D4	D5	D6	D7	D8	N1	N2	N3	N4	N5	N6	N7	N8	taxonomy
KP232906.1.1565	10743.0	10770.0	10813.0	10780.0	10798.0	10820.0	10784.0	10829.0	308.0	363.0	616.0	566.0	543.0	4701.0	4731.0	5066.0	597.0	506.0	524.0	5669.0	5987.0	5807.0	10867.0	10899.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
AB909442.1.1204	43.0	32.0	27.0	33.0	25.0	32.0	32.0	33.0	1.0	1.0	3.0	0.0	0.0	16.0	11.0	18.0	3.0	2.0	0.0	8.0	10.0	13.0	28.0	16.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus sp.
KT998876.1.1360	27.0	38.0	33.0	34.0	30.0	29.0	41.0	33.0	1.0	3.0	2.0	0.0	0.0	13.0	18.0	16.0	2.0	0.0	3.0	9.0	17.0	13.0	19.0	28.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
HQ323430.1.1541	74.0	67.0	62.0	53.0	45.0	54.0	44.0	48.0	31.0	20.0	34.0	39.0	17.0	41.0	48.0	31.0	43.0	33.0	36.0	33.0	35.0	42.0	25.0	19.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus megaterium
KM251086.1.1461	20.0	45.0	20.0	29.0	15.0	18.0	9.0	21.0	2.0	1.0	0.0	1.0	0.0	12.0	15.0	14.0	0.0	0.0	2.0	9.0	6.0	2.0	9.0	9.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
JX133542.1.1512	5.0	5.0	5.0	11.0	7.0	10.0	4.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	4.0	0.0	1.0	0.0	5.0	7.0	13.0	6.0	9.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
HQ318731.1.1489	79.0	51.0	50.0	67.0	67.0	45.0	69.0	57.0	1.0	2.0	3.0	4.0	2.0	21.0	28.0	38.0	0.0	0.0	2.0	18.0	20.0	12.0	50.0	24.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus flexus
EF682896.1.1527	7.0	6.0	4.0	4.0	8.0	5.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	9.0	0.0	0.0	0.0	4.0	7.0	5.0	6.0	6.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
KT375323.1.1471	8.0	7.0	9.0	2.0	12.0	9.0	16.0	8.0	0.0	1.0	1.0	0.0	0.0	3.0	4.0	6.0	0.0	0.0	0.0	7.0	4.0	6.0	8.0	13.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
KY621940.1.1212	26.0	28.0	27.0	31.0	29.0	20.0	27.0	27.0	0.0	0.0	0.0	1.0	0.0	13.0	17.0	10.0	0.0	2.0	0.0	16.0	10.0	7.0	15.0	20.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus sp.
FN430384.1.1490	7.0	5.0	7.0	3.0	0.0	0.0	0.0	0.0	10055.0	10020.0	8345.0	8534.0	8646.0	20.0	42.0	31.0	10160.0	10309.0	10330.0	6.0	3.0	1.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus cereus
HM100194.1.1428	12.0	13.0	4.0	4.0	8.0	11.0	13.0	7.0	0.0	1.0	0.0	0.0	1.0	5.0	4.0	4.0	1.0	0.0	0.0	2.0	2.0	5.0	6.0	7.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus megaterium
FNLH01000015.365395.366926	12.0	12.0	15.0	21.0	14.0	6.0	16.0	8.0	0.0	1.0	3.0	8.0	15.0	24.0	18.0	12.0	0.0	0.0	0.0	11.0	22.0	11.0	6.0	8.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
EU231617.1.1548	38.0	39.0	35.0	36.0	39.0	33.0	43.0	29.0	13.0	18.0	8.0	6.0	15.0	26.0	39.0	36.0	14.0	12.0	4.0	15.0	34.0	37.0	38.0	38.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
DQ129521.1.1515	12.0	5.0	11.0	6.0	15.0	25.0	21.0	12.0	1.0	0.0	1.0	2.0	6.0	127.0	100.0	99.0	0.0	0.0	0.0	85.0	125.0	162.0	2.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__uncultured bacterium
LT161887.1.1539	5.0	0.0	5.0	4.0	0.0	4.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	2.0	4.0	4.0	0.0	4.0	3.0	2.0	2.0	6.0	2.0	3.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
AY559419.1.1598	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	406.0	340.0	301.0	1573.0	1623.0	1502.0	0.0	0.0	0.0	791.0	772.0	768.0	5.0	4.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__uncultured bacterium
AFEU01000001.796818.798378	1.0	0.0	2.0	1.0	1.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	2.0	3.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
JX293295.1.1455	2.0	3.0	3.0	3.0	4.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	1.0	0.0	1.0	4.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
HQ453970.1.1570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	73.0	107.0	645.0	601.0	520.0	0.0	0.0	0.0	270.0	313.0	282.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Virgibacillus
CP003017.4738540.4740093	2.0	1.0	1.0	2.0	3.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	4.0	6.0	5.0	6.0	1.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
AB533926.1.1539	9.0	3.0	2.0	6.0	5.0	6.0	4.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	7.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__uncultured bacterium
KC554661.1.1526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Frankiales; D_4__Geodermatophilaceae; D_5__Blastococcus; D_6__uncultured bacterium
KJ882402.1.1473	2.0	5.0	1.0	1.0	3.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	4.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
DQ148952.1.1551	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	179.0	166.0	191.0	212.0	214.0	4.0	1.0	4.0	208.0	190.0	147.0	0.0	1.0	0.0	1.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
AY148429.1.1547	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	15.0	17.0	11.0	0.0	0.0	0.0	2.0	4.0	7.0	0.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
HQ120337.1.1406	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__BRC1; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
KR029371.1.1539	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
KM108636.1.1509	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	450.0	450.0	7.0	8.0	11.0	0.0	0.0	0.0	9.0	12.0	12.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus sp. SG-1
HQ330573.1.1396	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Steroidobacterales; D_4__Steroidobacteraceae; D_5__uncultured
KF741280.1.1459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	22.0	17.0	19.0	0.0	0.0	0.0	19.0	23.0	41.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
EU771840.1.1404	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	53.0	45.0	47.0	56.0	99.0	0.0	0.0	2.0	66.0	42.0	46.0	0.0	1.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Planococcaceae; D_5__Solibacillus; D_6__uncultured bacterium
KJ685888.1.1525	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	834.0	791.0	627.0	2989.0	2959.0	2946.0	0.0	0.0	0.0	1884.0	1811.0	1726.0	4.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Virgibacillus
CP015378.146768.148325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Fictibacillus
KJ191972.1.1452	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__uncultured; D_5__uncultured bacterium; D_6__uncultured bacterium
KR029299.1.1517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	53.0	45.0	45.0	0.0	0.0	0.0	24.0	44.0	47.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Planococcaceae; D_5__Sporosarcina
CP015027.1029839.1031395	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	8.0	5.0	0.0	0.0	0.0	6.0	2.0	5.0	0.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Planococcaceae; D_5__Sporosarcina
KJ767384.1.1524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	277.0	259.0	322.0	0.0	0.0	0.0	6.0	4.0	10.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
EU621383.1.1273	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	6.0	7.0	20.0	24.0	23.0	0.0	1.0	1.0	9.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus cereus
KY646001.1.1573	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	5.0	8.0	147.0	140.0	113.0	0.0	0.0	3.0	98.0	127.0	167.0	6.0	3.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
LFZV01000001.3852991.3854551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	71.0	65.0	36.0	169.0	174.0	149.0	0.0	0.0	0.0	93.0	99.0	103.0	1.0	2.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
JN417563.1.1533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Nitrospira; D_3__Nitrospirales; D_4__Nitrospiraceae; D_5__Nitrospira
KC197356.1.1334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	3.0	0.0	0.0	0.0	4.0	4.0	4.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
LNNI01000005.225118.226745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1464.0	1036.0	1225.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Pseudomonadaceae; D_5__Pseudomonas
JX524820.1.1514	0.0	0.0	0.0	0.0	2.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Paenibacillaceae; D_5__Brevibacillus; D_6__Brevibacillus brevis
KT438835.1.1549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	45.0	72.0	2.0	4.0	3.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
HQ848128.1.1453	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	13.0	12.0	6.0	0.0	0.0	0.0	8.0	10.0	19.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
FJ227527.1.1519	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	3.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus
JN882123.1.1511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__uncultured bacterium
AJ550463.1.1513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	1.0	0.0	0.0	0.0	6.0	4.0	15.0	0.0	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Bacillus; D_6__Bacillus pumilus
LQXD01000001.79025.80958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	14.0	15.0	20.0	10.0	7.0	12.0	22.0	7.0	8.0	4.0	19.0	10.0	7.0	0.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Bacilli; D_3__Bacillales; D_4__Bacillaceae; D_5__Anaerobacillus
